Company Name,Ticker,Last Close,Exchange
"Brighthouse Financial, Inc.",BHF,59.97,NSDQ
"Biocept, Inc.",BIOC,0.7,NSDQ
"Biolase, Inc.",BIOL,0.425,NSDQ
"BioScrip, Inc.",BIOS,2.67,NSDQ
BIOVERATIV INC,BIVV,52.86,NSDQ
"BJ's Restaurants, Inc.",BJRI,36.65,NSDQ
BlackRock Capital Investment Corporation,BKCC,6.51,NSDQ
"Blueknight Energy Partners L.P., L.L.C.",BKEP,5.2,NSDQ
Bank Mutual Corporation,BKMU,10.55,NSDQ
Bank of South Carolina Corp.,BKSC,18.3,NSDQ
BIO-key International Inc.,BKYI,1.4099,NSDQ
BLACKLINE INC,BL,35.04,NSDQ
Blue Bird Corporation,BLBD,18.1,NSDQ
"Bellicum Pharmaceuticals, Inc.",BLCM,9.16,NSDQ
"Ballard Power Systems, Inc.",BLDP,4.72,NSDQ
"Builders FirstSource, Inc.",BLDR,20.44,NSDQ
"BioLife Solutions, Inc.",BLFS,5.57,NSDQ
"Bridgeline Digital, Inc.",BLIN,2.38,NSDQ
"Blackbaud, Inc.",BLKB,95.72,NSDQ
"Bloomin' Brands, Inc.",BLMN,21.33,NSDQ
"BSB Bancorp, Inc.",BLMT,29.75,NSDQ
"Bellerophon Therapeutics, Inc.",BLPH,2.09,NSDQ
BioLineRx Ltd.,BLRX,1.1,NSDQ
"BMC Stock Holdings, Inc.",BMCH,23.35,NSDQ
"Biomerica, Inc.",BMRA,4,NSDQ
Bank of Marin Bancorp,BMRC,68.65,NSDQ
BioMarin Pharmaceutical Inc.,BMRN,88.11,NSDQ
Bryn Mawr Bank Corporation,BMTC,43.7,NSDQ
"Beneficial Bancorp, Inc.",BNCL,16.2,NSDQ
"Benefitfocus, Inc.",BNFT,27.25,NSDQ
"Bonso Electronics International, Inc.",BNSO,2.36,NSDQ
Benitec Biopharma Limited,BNTC,3.11,NSDQ
"Bob Evans Farms, Inc.",BOBE,77.73,NSDQ
Bank of Commerce Holdings (CA),BOCH,11.6,NSDQ
"BofI Holding, Inc.",BOFI,26.79,NSDQ
"Bojangles', Inc.",BOJA,12.7,NSDQ
BOK Financial Corporation,BOKF,87.95,NSDQ
"Audentes Therapeutics, Inc.",BOLD,28.53,NSDQ
Boston Omaha Corporation,BOMN,25.3,NSDQ
DMC Global Inc.,BOOM,21.2,NSDQ
B.O.S. Better Online Solutions,BOSC,2.3,NSDQ
"Bank of the James Financial Group, Inc.",BOTJ,14.8934,NSDQ
BOXLIGHT CORP,BOXL,6.5001,NSDQ
"Boston Private Financial Holdings, Inc.",BPFH,15.6,NSDQ
Blueprint Medicines Corporation,BPMC,88.32,NSDQ
"Popular, Inc.",BPOP,36,NSDQ
The Bank of Princeton,BPRN,33.9072,NSDQ
"Bio-Path Holdings, Inc.",BPTH,0.2201,NSDQ
Brookfield Property Partners L.P.,BPY,21.32,NSDQ
Black Ridge Acquisition Corporation,BRAC,9.59,NSDQ
"Craft Brew Alliance, Inc.",BREW,18.5,NSDQ
Bridgford Foods Corporation,BRID,12.7999,NSDQ
"Brookline Bancorp, Inc.",BRKL,15.35,NSDQ
Bruker Corporation,BRKR,34.27,NSDQ
"Brooks Automation, Inc.",BRKS,24.08,NSDQ
BIG ROCK PTNRS,BRPA,9.68,NSDQ
"Borqs Technologies, Inc.",BRQS,5.45,NSDQ
"Bassett Furniture Industries, Incorporated",BSET,36.4,NSDQ
"Bear State Financial, Inc.",BSF,10.23,NSDQ
"BroadSoft, Inc.",BSFT,54.65,NSDQ
"Biostar Pharmaceuticals, Inc.",BSPM,2.07,NSDQ
BSQUARE Corporation,BSQR,4.5,NSDQ
Sierra Bancorp,BSRR,26.42,NSDQ
BioSpecifics Technologies Corp,BSTC,43.14,NSDQ
"Blue Buffalo Pet Products, Inc.",BUFF,32.49,NSDQ
Burcon NutraScience Corp,BUR,0.5501,NSDQ
"Chanticleer Holdings, Inc.",BURG,2.49,NSDQ
First Busey Corporation,BUSE,30.58,NSDQ
"Bazaarvoice, Inc.",BV,5.475,NSDQ
"BroadVision, Inc.",BVSN,3.7788,NSDQ
BiondVax Pharmaceuticals Ltd.,BVXV,5.295,NSDQ
"Broadwind Energy, Inc.",BWEN,2.49,NSDQ
"Bankwell Financial Group, Inc.",BWFG,35.165,NSDQ
"Baldwin & Lyons, Inc.",BWINA,23.75,NSDQ
"Baldwin & Lyons, Inc.",BWINB,23.35,NSDQ
"Bay Bancorp, Inc.",BYBK,12.3,NSDQ
Broadway Financial Corporation,BYFC,2.19,NSDQ
BeyondSpring Inc.,BYSI,31.7,NSDQ
Baozun Inc.,BZUN,32.03,NSDQ
CA Inc.,CA,33.33,NSDQ
"China Automotive Systems, Inc.",CAAS,4.95,NSDQ
Camden National Corporation,CAC,43.21,NSDQ
"China Advanced Construction Materials Group, Inc.",CADC,4.15,NSDQ
8point3 Energy Partners LP,CAFD,14.29,NSDQ
